Period,Demand,Moving_Average
1,2.0790197897340756,
2,2.0791679578555935,
3,2.1233033777502324,2.0938303751133005
4,2.063365800865801,2.0886123788238753
5,2.1230244809420515,2.103231219852695
6,2.1181050511310815,2.1014984443129783
7,2.1432204700061845,2.1281166673597727
8,2.1364812519367837,2.13260225769135
9,2.089742795165789,2.1231481723695858
10,2.108351409978308,2.1115251523602936
11,2.168436920222635,2.1221770417889103
12,2.121854663774404,2.132880997991782
13,2.134893089556864,2.1417282245179674
14,2.1124458874458876,2.1230645469257183
15,2.131716764797025,2.126351913933259
16,2.141168267740936,2.1284436399946163
17,2.1020917260613574,2.1249922528664396
18,2.101283240568955,2.114847744790416
19,2.092113418035327,2.0984961282218797
20,2.144879144716455,2.1127586011069126
21,2.1014919604205318,2.112828174390771
22,2.1292454291911995,2.125205511442729
23,2.1335838239851257,2.1214404045322857
24,2.1260977118119975,2.1296423216627742
