city,age,monthlyIncome,monthlyCoffeeSpend,preferredPriceRange,cluster
Delhi,22.0,12500.0,700.0,950.0,1
Delhi,22.0,12500.0,700.0,950.0,1
Delhi,20.0,12500.0,700.0,400.0,1
Delhi,21.0,12500.0,700.0,950.0,1
New delhi,20.0,48826.8352365416,700.0,270.14288298064747,0
Delhi,19.0,48826.8352365416,568.1544443439732,270.14288298064747,0
Jammu,19.0,48826.8352365416,568.1544443439732,400.0,1
Ranchi,21.0,48826.8352365416,490.0,150.0,0
Mumbai,20.0,48826.8352365416,490.0,400.0,1
Delhi,35.0,48826.8352365416,700.0,270.14288298064747,0
noida,25.0,75000.0,490.0,400.0,1
Delhi,34.0,48826.8352365416,700.0,400.0,1
Kota,69.0,75000.0,700.0,400.0,2
Delhi,21.0,125000.0,4000.0,950.0,2
Delhi,20.0,125000.0,4000.0,150.0,2
Delhi,21.0,48826.8352365416,568.1544443439732,150.0,0
Delhi,21.0,48826.8352365416,2400.0,400.0,2
Delhi,22.0,48826.8352365416,2400.0,950.0,1
Delhi,22.0,48826.8352365416,490.0,150.0,0
Delhi,22.0,48826.8352365416,700.0,400.0,1
Delhi,20.0,48826.8352365416,568.1544443439732,400.0,1
Andman,100.0,125000.0,568.1544443439732,270.14288298064747,2
Delhi,20.0,48826.8352365416,490.0,270.14288298064747,0
Delhi,21.0,12500.0,490.0,400.0,1
Delhi,20.0,48826.8352365416,568.1544443439732,270.14288298064747,0
Dehradun,22.0,48826.8352365416,4000.0,2000.0,1
New delhi,20.0,48826.8352365416,490.0,270.14288298064747,0
Delhi,22.0,12500.0,490.0,950.0,1
Delhi,18.0,125000.0,568.1544443439732,270.14288298064747,2
Delhi,21.0,48826.8352365416,490.0,150.0,0
Delhi,21.0,125000.0,4000.0,2000.0,1
Delhi,30.0,48826.8352365416,490.0,400.0,1
Delhi,30.48743900234954,48826.8352365416,568.1544443439732,270.14288298064747,0
Kanpur,21.0,48826.8352365416,490.0,150.0,0
New Delhi,21.0,48826.8352365416,490.0,400.0,1
Araria,21.0,48826.8352365416,4000.0,2000.0,1
Noida,25.0,75000.0,2400.0,150.0,2
Delhi,27.0,37500.0,490.0,150.0,0
Delhi,20.0,48826.8352365416,490.0,950.0,1
Bihar,18.0,37500.0,700.0,950.0,1
Delhi,21.0,48826.8352365416,490.0,270.14288298064747,0
Delhi,21.0,12500.0,2400.0,400.0,2
Delhi,22.0,48826.8352365416,490.0,150.0,0
Rohtak,30.48743900234954,48826.8352365416,490.0,400.0,1
Delhi,22.0,12500.0,4000.0,400.0,2
Bengaluru,36.0,125000.0,700.0,950.0,1
Delhi,21.0,12500.0,490.0,400.0,1
Noida,45.0,48826.8352365416,490.0,2000.0,1
Delhi,30.48743900234954,48826.8352365416,2400.0,270.14288298064747,2
Delhi,24.0,12500.0,568.1544443439732,150.0,0
New Delhi,30.48743900234954,48826.8352365416,490.0,400.0,1
New delhi,21.0,12500.0,700.0,400.0,1
Delhi,22.0,48826.8352365416,568.1544443439732,270.14288298064747,0
Delhi,34.0,37500.0,490.0,950.0,1
Kanpur,30.48743900234954,48826.8352365416,490.0,950.0,1
Delhi,22.0,48826.8352365416,700.0,950.0,1
Dwarka,25.0,125000.0,4000.0,950.0,2
Delhi,22.0,12500.0,490.0,400.0,1
Delhi,21.0,48826.8352365416,490.0,150.0,0
New Delhi,30.48743900234954,48826.8352365416,568.1544443439732,150.0,0
Delhi,23.0,12500.0,700.0,400.0,1
Delhi,22.0,48826.8352365416,568.1544443439732,400.0,1
Delhi,23.0,48826.8352365416,700.0,950.0,1
Noida,45.0,125000.0,2400.0,950.0,2
Delhi,32.0,37500.0,568.1544443439732,270.14288298064747,0
