age,gender,city,occupation,monthlyIncome,coffeeFrequency,preferredCoffeeType,preferredBrand,monthlyCoffeeSpend,purchaseLocation,purchaseMode,priceSensitivity,tastePreference,brandLoyalty,willingnessToTry,preferredPriceRange,purchaseIntention
22.0,Male,Delhi,Student,12500.0,Daily,Instant Coffee,Davidoff,700.0,App,Both equally,Somewhat Sensitive,Strong,Very Loyal,Very Willing,950.0,Probably Would Buy
22.0,Male,Delhi,Student,12500.0,Daily,Espresso / black coffee,Bru,700.0,Grocery store,Both equally,Somewhat Sensitive,Strong,Very Loyal,Only With A Recommendation,950.0,Not Sure
20.0,Male,Delhi,Student,12500.0,Daily,Espresso / black coffee,Nescafé,700.0,Instamart,Online,Neutral,Strong,I Like To Explore,Somewhat Willing,400.0,Probably Would Buy
21.0,Male,Delhi,Student,12500.0,Daily,Espresso / black coffee,Nescafé,700.0,Amazon App,Online,Neutral,Strong,Very Loyal,Only With A Recommendation,950.0,Probably Would Buy
20.0,Female,New delhi,Student,48826.8352365416,Daily,Cold brew,Nescafé,700.0,Supermarket,Offline,Neutral,Strong,Very Loyal,Likely,270.14288298064747,High
19.0,Male,Delhi,Student,48826.8352365416,Daily,Espresso / black coffee,Nescafé,568.1544443439732,Supermart,Offline,Medium,Smooth,Somewhat Loyal,Likely,270.14288298064747,High
19.0,Female,Jammu,Student,48826.8352365416,Daily,Instant Coffee,Nescafé,568.1544443439732,Supermarket/Grocery Store,Online,Medium,Balanced,Medium,Only With A Recommendation,400.0,Not Sure
21.0,Female,Ranchi,Student,48826.8352365416,Rarely,Instant Coffee,Nesscafe,490.0,Supermarket,Offline,Neutral,Smooth,Very Loyal,Not Currently Interested,150.0,Not Sure
20.0,Male,Mumbai,Student,48826.8352365416,Rarely,Flavoured / specialty,third wave,490.0,Cafe,Both equally,Very Sensitive,Frappuccino Or Cappuccino,I Like To Explore,Only With A Recommendation,400.0,Not Sure
35.0,Male,Delhi,Private Sector Employee,48826.8352365416,Daily,Espresso / black coffee,Nescafé,700.0,Supermarket/Grocery Store,Offline,Neutral,Strong,Medium,Likely,270.14288298064747,High
25.0,Female,noida,HR,75000.0,Rarely,Flavoured / specialty,Caffe Coffee Day,490.0,Cafe,Offline,Somewhat Sensitive,Smooth,No Preference,Very Willing,400.0,Definitely Would Buy
34.0,Male,Delhi,Farmer,48826.8352365416,Daily,Espresso / black coffee,Whatever's available in my given budget.,700.0,BlinkIt or store,Both equally,Somewhat Sensitive,Smooth,I Like To Explore,Very Willing,400.0,Probably Would Buy
69.0,Non-binary,Kota,Teacher,75000.0,few,Espresso / black coffee,Tim hortons,700.0,Cafe,Offline,Somewhat Sensitive,Strong,Somewhat Loyal,Somewhat Willing,400.0,Probably Would Buy
